ISO3,year,government_effectiveness,control_of_corruption,gdp_per_capita_log,urban_share,median_age,life_expectancy,locc
CPV,2025,,,9.166296065672697,70.98,29.1,77.75,4.1
CRI,2015,0.580660008,0.603206654,9.7713917268501,76.9,31.0,79.5,2.888030301403544
CRI,2016,0.5747559179999999,0.6411761509999999,9.862756456141785,75.5423088085047,30.609,79.973,3.0
CRI,2017,0.5783311289999999,0.5970325219999999,9.92814817500886,76.0539254265608,31.071,79.9835,2.8
CRI,2018,0.582016549,0.610056411,9.975716818064084,76.5544308439668,31.536,80.09049999999999,2.7
CRI,2019,0.572585713,0.625292538,10.057907158989895,77.0435864735963,32.014,80.28299999999999,2.7
CRI,2020,0.557310024,0.631650182,10.003326906163949,80.8,33.2,79.15,2.6
CRI,2021,0.56619285,0.598166838,10.079662142966994,77.9868940200009,33.022,78.104,2.6
CRI,2022,0.536977704,0.593313828,10.174517068176938,78.4405687613972,33.536,79.33449999999999,2.6
CRI,2023,0.578366245,0.615697363,10.27190024933432,78.8819393641702,34.07,80.7745,2.5
CRI,2024,0.569189193,0.616036307,10.345180577914732,79.3107672397967,,80.97165,2.4
CRI,2025,,,10.065167938331845,84.072,35.6,81.6,2.2
CUB,2015,0.508664809,0.446954229,,76.9,40.3,77.75,3.718336618862486
CUB,2016,0.50658147,0.47962225,,76.9115829467773,40.067,77.614,3.3
CUB,2017,0.500984373,0.486704662,,76.9603271484375,40.44,77.35249999999999,3.1
CUB,2018,0.472258128,0.476292922,,77.0156326293945,40.781,77.47200000000001,3.1
CUB,2019,0.492365733,0.4495308809999999,,77.0728225708008,41.096,77.4565,3.0
CUB,2020,0.492032171,0.449587983,,77.2,41.8,77.65,3.1
CUB,2021,0.494420441,0.4337900519999999,,77.0987701416016,41.425,73.33,3.0
CUB,2022,0.5172550709999999,0.433232499,,77.1056060791016,41.505,77.649,2.9
CUB,2023,0.513036807,0.4455853,,77.1259872296321,41.709,78.096,2.9
CUB,2024,0.4609995929999999,0.432746338,,77.1664929228275,,78.2731,2.9
CUB,2025,,,,79.582,42.7,80.05,4.1
CYP,2015,0.71759259,0.662904784,9.939290512254017,66.9,35.7,81.25,2.585342457123673
CYP,2016,0.7172498439999999,0.625254282,10.04467550965074,66.9625604106231,34.938,81.5735,2.5
CYP,2017,0.7301310599999999,0.644120525,10.107762045711302,66.8907450570326,35.32,81.5875,2.5
CYP,2018,0.680766854,0.6123163789999999,10.180977799714976,66.8255530496405,35.716,81.576,2.7
CYP,2019,0.7073502519999999,0.616339343,10.279519566723758,66.7677357070518,36.12,81.475,2.6
CYP,2020,0.708350822,0.572945096,10.238989162094326,66.8,37.9,82.1,2.6
CYP,2021,0.6806233569999999,0.577843487,10.364888894598003,66.6718365394971,36.935,80.622,2.5
CYP,2022,0.6983031439999999,0.5929714229999999,10.535084557773564,66.6694829407584,37.339,80.461,2.5
CYP,2023,0.694521321,0.576250559,10.652864225314143,66.6739477522639,37.756,81.6515,2.6
CYP,2024,0.682497236,0.5863300739999999,10.706436793645974,66.6824259192483,,81.8205,2.6
CYP,2025,,,10.3539537213255,71.524,40.4,83.3,2.5
CZE,2015,0.717163227,0.530676484,10.436848186630874,73.5,41.3,79.0,2.725950169017166
CZE,2016,0.709387577,0.605011189,10.503560886596505,72.9745753395623,,,2.3
CZE,2017,0.7133716179999999,0.6298305689999999,10.580150373643132,72.9121853567256,,,2.1
CZE,2018,0.712863312,0.6028430979999999,10.636772888435436,72.8498744351241,,,2.1
CZE,2019,0.702287496,0.600687334,10.72797034110148,72.7876426709563,,,2.1
CZE,2020,0.724487589,0.606913367,10.710844329615975,74.1,43.0,79.15,2.1
CZE,2021,0.727485643,0.6263132379999999,10.77469793890392,72.6810594374316,,,2.1
CZE,2022,0.7457896409999999,0.64112328,10.877046051662692,72.6967638379524,,,2.0
CZE,2023,0.753620856,0.650585388,10.928836790987942,72.7352388396817,,,2.0
CZE,2024,0.742324658,0.6670103000000001,10.955801484654357,72.7947984592185,,79.9619,1.9
CZE,2025,,,10.650520387504772,76.785,44.4,80.95,1.8
DEU,2015,0.857618577,0.85430585,10.79025473641972,77.2,45.6,81.05,1.75563425592548
DEU,2016,0.8839657489999999,0.835429199,10.850693480588273,80.8347870684725,44.816,81.05,1.6
DEU,2017,0.88091681,0.847401905,10.898778978574068,80.9842544038853,44.889,81.05000000000001,1.5
DEU,2018,0.863768371,0.8667425089999999,10.937970846202976,81.1423036204018,44.928,80.94999999999999,1.5
DEU,2019,0.880532013,0.858450483,10.989870831570004,81.3053991689039,44.904,81.35,1.5
DEU,2020,0.859752286,0.857329669,10.97995430734077,77.5,45.9,81.7,1.5
DEU,2021,0.868568108,0.84782052,11.04341395973039,81.6325870653934,44.923,80.85,1.5
DEU,2022,0.8593649999999999,0.847431984,11.142571508530102,81.7867852780995,45.024,80.66499999999999,1.5
