iso3,year,cdd,rx1day,rx5day,warm_days,warm_nights,wsdi,conflict_probability,hazard,conflict_probability_lag1
PAN,2018,-16.369444444444433,2.0979327666666734,-1.2267563666666632,46.187214,49.13242,98.83333333333331,0.0193125,2.8,0.011875
PAN,2019,-8.786111111111111,3.5521677666666704,5.921363633333343,54.634705,69.520546,124.83333333333331,0.0179,3.1,0.0193125
PAN,2020,-22.61944444444444,-1.8531802333333296,0.4654436333333365,17.463572,26.138433,7.333333333333333,0.021075,3.8,0.0179
PAN,2021,-24.70277777777777,-3.537886233333328,-3.406326366666661,18.242008,24.200912,8.75,0.0241875,3.8,0.021075
PAN,2022,0.38055555555556,-0.9012532333333284,0.532153633333337,34.10959,39.885845,37.25,0.0285125,3.7,0.0241875
PAN,2023,37.79722222222223,0.5658547666666678,0.3640836333333368,31.461187,37.031963,29.08333333333333,0.0303625,3.8,0.0285125
PAN,2024,15.963888888888905,-0.6186892333333276,-2.1237363666666624,40.25501,48.26958,67.83333333333333,0.0299874999999999,2.9,0.0303625
PAN,2025,13.88055555555556,1.7193657666666695,5.40604363333334,67.12329,78.561646,170.83333333333334,0.031525,3.4,0.0299874999999999
PER,2018,-0.6136986301369873,2.018615500000003,6.488643333333343,30.54732,41.024582,47.81735159817352,0.0696875,5.1,0.0468625
PER,2019,-4.9150684931506845,8.770400500000001,16.532833333333343,52.54394,73.682365,111.57534246575342,0.086525,4.9,0.0696875
PER,2020,2.021004566210045,-0.4544724999999943,-5.903092666666652,16.026648,21.318962,8.19634703196347,0.095175,5.1,0.086525
PER,2021,0.8337899543379024,-0.1831704999999956,-0.613286666666653,16.998812,19.864891,10.5662100456621,0.1072,5.2,0.095175
PER,2022,-1.9607305936073047,1.4557125000000042,4.33717333333334,27.031963,38.643898,20.21461187214612,0.1143875,5.1,0.1072
PER,2023,6.637442922374433,-0.3170174999999986,3.6721793333333466,32.233692,45.655846,37.59360730593608,0.119975,4.6,0.1143875
PER,2024,5.3634703196347004,0.1967925000000008,0.9598733333333485,34.832947,44.449432,51.46118721461188,0.128175,4.8,0.119975
